,name,price,status,shipping,free_returns,items_sold
192,32 oz. Ball Pein Hammer Steel Head 2191773,2498,Brand New,0,True,0
193,Plumb Hammer 16 Oz Fiberglass Handle Striking Pulling Rip Claw Hand Tool Silver,1598,Brand New,,False,0
194,Hammer Lot Claw Vintage Hand Tool Woodworking Body Metalwork Machinist STANLEY+,999,Pre-Owned,1625,False,
195,Milwaukee  48-22-9080 20oz Curved Claw Smooth Face Hammer,3866,Brand New,,False,0
196,16oz Rip Claw Hammer Fiberglass Handle Construction Work Carpenter by LavoHome,995,Brand New,0,True,0
197,16oz Head Dead Blow Hammer Rubber Head ,1798,Brand New,,True,27
199,"Vaughan Sf12 Soft Face Hammer,12 Oz.,12-1/2"" L",1599,Brand New,500,True,
200,DEWALT DCD996B 20V MAX XR Li-Ion 1/2 in. 3-Speed Hammer Drill/Driver New,,Brand New,,True,0
201,Estwing - E3-12S Hammer - 12 oz Straight Rip Claw with Smooth Face Used,1295,Pre-Owned,1054,False,
202,Slide Hammer Dent Puller 10# 13pc Set Auto Body Dent Repair Bearing Axel Remover,5074,Brand New,0,True,499
203,"1× Brass Hexagon Hammer Head Replacement - 10 oz. 3-1/4"" LOOK ",2300,Brand New,0,False,
204,4 LBS Bushing Hammer W/ Short Fiberglass Handle! Drop Forged Alloy Steel! NEW!,4999,Brand New,0,False,
205,12 OZ SMALL BRASS HEAD WOOD WOODEN MALLET HAMMER TOOL,2595,Brand New,,True,160
206,"Vintage 28 Ounce, Bostitch Framing Hammer, Orig. Handle, Magnetic Nail Holder",1499,Pre-Owned,2190,False,
207,REAL STEEL 0508 Rubber Grip Forged Jacketed Graphite Drilling Sledge Hammer ,1923,Brand New,,False,0
208,Stiletto Curved Hickory Wood Hammer  Handle 18 Inches Length Axe Eye,3832,Brand New,0,False,
209,P&C 1304 Ball-Peen Hammer Original Blue Handle 1930’s/40’s,3600,Pre-Owned,925,False,
210,32 oz. Ball Pein Hammer Steel Head 2191773,2498,Brand New,0,True,0
211,Plumb Hammer 16 Oz Fiberglass Handle Striking Pulling Rip Claw Hand Tool Silver,1598,Brand New,,False,0
212,"MyIntent Claw Hammer Maker Tool, Hand Tool & Workshop Equipment, Black Handle",1167,Pre-Owned,,True,
213,Tekton 3 lb. Sledge Hammer Jacketed Fiberglass Model 31103,2499,Open Box,0,True,
214,New ListingTEKTON 3 lb. Sledge Hammer 31103,2749,Brand New,,True,
215,Hart 16 oz. Hickory Wood Hammer Magnetic Nail Starter & Rip Claw,1999,Brand New,,True,0
216,Milwaukee  48-22-9080 20oz Curved Claw Smooth Face Hammer,3866,Brand New,,False,0
217,Bosch 8.5 A 1-1/8in. Bulldog MAX Rotary Hammer GBH2-28L-RT Certified Refurbished,14499,Certified - Refurbished,,True,0
218,Vintage Vaughan 20 Oz Framing Hammer Head - 999L,475,Pre-Owned,920,False,
219,Estwing Framing Hammer Straight Claw Smooth Head 22 oz,1950,Pre-Owned,1680,False,
220,Medium White Rubber Mallet 16oz 450g Hammer Fiberglass TPR Handle Grip,1319,Brand New,0,False,
221,Milwaukee Milled Face Framing Hammer I-Beam Handle Asymmetrical Claw 22 oz Steel,3199,Brand New,0,True,0
222,New ListingJapanese Hammer Tenno Fukushima NOS 225,2400,Brand New,0,False,
223,New ListingJapanese Hammer Genno 300 Fukushima NOS,2600,Brand New,0,False,
224,"Rock Pick Hammer 11"" Grip Handle Tool Steel Geologist Mining Prospecting Pointed",7347,Brand New,,True,
225,Small Detail Hammers (Origins Unknown),500,Pre-Owned,525,False,
226,DEWALT DWHT56147 4 lb. Fiberglass Blacksmith Hammer NEW,3590,Brand New,,True,0
227,"Arm & Hammer Odor Defense Shoe Refresher Deodorant Spray, 4 Oz",749,Brand New,,False,
